"Variable / Field Name";"Form Name";"Section Header";"Field Type";"Field Label";"Choices, Calculations, OR Slider Labels";"Field Note";"Text Validation Type OR Show Slider Number";"Text Validation Min";"Text Validation Max";Identifier?;"Branching Logic (Show field only if...)";"Required Field?";"Custom Alignment";"Question Number (surveys only)";"Matrix Group Name";"Matrix Ranking?";"Field Annotation"
imp_surgery;surgery;;checkbox;"Surgery associated to Impella-Therapy";"1, Revision Impella implant site|2, Thoracotomy|3, Fasciotomy|4, Change of Impella implant site|5, {imp_surgery_other}";;;;;;"[surgery_spec] = '4'";;;;;;
imp_surgery_other;surgery;;text;"Other surgery associated to Impella therapy";;;;;;;"[imp_surgery(5)] = '1'";;;;;;
other_surgery;surgery;;notes;"Other surgery since hospital admission";;;;;;;"[surgery_spec] = '3'";;;;;;
ca;coronary_angiography;;yesno;"History of Coronary Angiography or Coronary Angiography since hospital Admission?";;;;;;;;y;RH;;;;
ca_date;coronary_angiography;;text;"Date of Coronary Angiography";;;date_dmy;1920-01-01;2030-01-01;;"[ca] = '1'";;;;;;
khk;coronary_angiography;;yesno;"Coronary Heart Disease ";;;;;;;"[ca] = '1'";;RH;;;;
khk_spec;coronary_angiography;;checkbox;"Localisation of Coronary Heart Disease ";"4, Left Main|1, RIVA|2, RCX|3, RCA";;;;;;"[ca] = '1' and [khk] = '1'";;RH;;;;
ffr;coronary_angiography;;yesno;"FFR performed";;;;;;;"[ca] = '1' and [khk] = '1'";;RH;;;;
ffr_spec;coronary_angiography;;checkbox;"Localisation FFR";"1, LM|2, RIVA|3, RCX|4, RCA";;;;;;"[ffr] = '1'";;RH;;;;
ca_stent;coronary_angiography;;yesno;"Coronary Intervention with Stent implantation";;;;;;;"[ca] = '1' and [khk] = '1'";;RH;;;;
ptca_stent_local;coronary_angiography;;checkbox;"Localisation of Stent Implantation";"4, Left Main|1, RIVA|2, RCX|3, RCA";;;;;;"[ca_stent] = '1'";;RH;;;;
pci_success;coronary_angiography;;radio;"Successful PCI?";"1, Yes|2, No|4, Unrelevant|3, Unknown";;;;;;"[ca] = '1'";;RH;;;;
ca_biopsy;coronary_angiography;;yesno;"Biopsy taken? ";;;;;;;"[ca] = '1'";;RH;;;;
echo_date;echocardiography;;text;"Examination Date ";;;date_dmy;;;;;;;;;;
echo_mcs;echocardiography;;yesno;"Mechanical Circulatory Support";;;;;;;;;RH;;;;
echo_mcs_spec;echocardiography;;checkbox;"Mechanical Circulatory Support";"1, ECLS|2, Impella|3, Heartmate/Heartware";;;;;;"[echo_mcs] = '1'";;RH;;;;
echo_ecls;echocardiography;;radio;Examination;"1, pre short term MCS|2, on short-term MCS|3, on long-term MCS";;;;;;;;;;;;
echo_flow;echocardiography;" ";text;"Minimum ECLS Flow ";;Liter;number_1dp_comma_decimal;0,5;12,0;;"[echo_ecls] = '2' and [echo_mcs_spec(1)] = '1'";;;;;;
echo_flow_i;echocardiography;;text;"Minimum Impella Flow ";;Liter;number_1dp_comma_decimal;0,2;6,0;;"[echo_mcs_spec(2)] = '1' and [echo_ecls] = '2'";;;;;;
echo_flow_lvad;echocardiography;;text;"Minimum Heartmate/Heartware Flow";;Liter;number_1dp_comma_decimal;0,2;6,0;;"[echo_mcs_spec(3)] = '1' and [echo_ecls] = '3'";;;;;;
av_opening;echocardiography;;yesno;"Aortic valve opening with every heartbeat";;;;;;;"[echo_ecls] = '2' and [echo_mcs_spec(1)] = '1'";;RH;;;;
fadi;echocardiography;;yesno;"Fadi Doktorarbeit";;;;;;;;;RH;;;;
echo_left_ventricle;echocardiography;" ";yesno;"Left Ventricular Examination?";;;;;;;;;RH;;;;
echo_lvef;echocardiography;;dropdown;"Left Ventricular Ejection Fraction";"1, normal|2, minimal reduction|3, moderate reduction|4, severe reduction|5, akinesia";;;;;;[echo_left_ventricle]='1';;;;;;
echo_lvef_number;echocardiography;;text;"Left Ventricular Ejection Fraction in percent";;;number;5;55;;[echo_left_ventricle]='1';;;;;;
echo_lvd;echocardiography;;checkbox;"Left Ventricular Dimension";"1, normal|2, minimal dilatation|3, moderate dilatation|4, severe dilatation|5, minimal hypertrophy|6, moderate hypertrophy|7, severe hypertrophy|8, minimal restriction|9, moderate restriction|10, severe restriction";;;;;;[echo_left_ventricle]='1';;;;;;
echo_lvedd;echocardiography;;text;"Left Ventricular end-diastolic Diameter ";;mm;number;40;80;;[echo_left_ventricle]='1';;;;;;
stroke_volume;echocardiography;;yesno;"Stroke Volume available? ";;;;;;;"[av_opening] = '1' and [echo_left_ventricle] = '1'";;RH;;;;
stroke_volume_numer;echocardiography;;text;"Stroke Volume";;;number;10;90;;"[stroke_volume] = '1'";;;;;;
echo_right_ventricle;echocardiography;;yesno;"Right Ventricular Examination? ";;;;;;;;;RH;;;;
echo_rvef;echocardiography;;dropdown;"Right Ventricular Ejection Fraction";"1, normal|2, minimal reduction|3, moderate reduction|4, severe reduction|5, akinesia";;;;;;"[echo_right_ventricle] = '1'";;;;;;
echo_rvef_number;echocardiography;;text;"Right Ventricular Ejection Fraction in percent";;%;number;5;55;;"[echo_right_ventricle] = '1'";;;;;;
echo_rvef_normal;echocardiography;;radio;"Right Venricular Ejection Fraction ";"1, normal|2, abnormal";;;;;;"[fadi] = '1'";;RH;;;;
echo_rvd;echocardiography;;dropdown;"Right Ventricular Dimension";"1, normal|2, minimal dilatation|3, moderate dilatation|4, severe dilatation";;;;;;"[echo_right_ventricle] = '1'";;;;;;
echo_valves;echocardiography;;yesno;"Valves Examination? ";;;;;;;;;RH;;;;
echo_ak_normal;echocardiography;"Aortic Valve";yesno;"Aortic Valve - normal function and morphology?";;;;;;;"[echo_valves] = '1'";;RH;;;;" @NONEOFTHEABOVE=1 @MAXCHECKED=4"
ak_regurgitation;echocardiography;;checkbox;"Aortic Valve Regurgitation";"1, None|2, Minimal|3, Moderate|4, Severe";;;;;;[echo_ak_normal]='0';;RH;;;;" @NONEOFTHEABOVE=1 @MAXCHECKED=2"
ak_stenosis;echocardiography;;checkbox;"Aortic Valve Stenosis ";"1, None|2, Minimal|3, Moderate|4, Severe";;;;;;[echo_ak_normal]='0';;RH;;;;" @NONEOFTHEABOVE=1 @MAXCHECKED=2"
echo_mk_normal;echocardiography;" Mitral Valve";yesno;"Mitral Valve - normal function and morphology?";;;;;;;"[echo_valves] = '1'";;RH;;;;" @NONEOFTHEABOVE=1 @MAXCHECKED=4"
mk_regurgitation;echocardiography;;checkbox;"Mitral Valve Regurgitation";"1, None|2, Minimal|3, Moderate|4, Severe";;;;;;[echo_mk_normal]='0';;RH;;;;" @NONEOFTHEABOVE=1 @MAXCHECKED=2"
mk_stenosis;echocardiography;;checkbox;"Mitral Valve Stenosis";"1, None|2, Minimal|3, Moderate|4, Severe";;;;;;[echo_mk_normal]='0';;RH;;;;" @NONEOFTHEABOVE=1 @MAXCHECKED=2"
echo_tk_normal;echocardiography;"Tricuspid Valve";yesno;"Tricuspid Valve - normal function and morphology? ";;;;;;;"[echo_valves] = '1' or [fadi] = '1'";;RH;;;;
tk_regurgitation;echocardiography;;checkbox;"Tricuspid Valve Regurgitation";"1, None|2, Minimal|3, Moderate|4, Severe";;;;;;[echo_tk_normal]='0';;RH;;;;" @NONEOFTHEABOVE=1 @MAXCHECKED=2"
tk_stenosis;echocardiography;;checkbox;"Tricuspid Valve Stenosis";"1, None|2, Minimal|3, Moderate|4, Severe";;;;;;[echo_tk_normal]='0';;RH;;;;" @NONEOFTHEABOVE=1 @MAXCHECKED=2"
echo_pk;echocardiography;"Pulmonal Valve";yesno;"Pulmonal Valve examined? ";;;;;;;"[echo_valves] = '1'";;RH;;;;
echo_pk_normal;echocardiography;;yesno;"<div class=""rich-text-field-label""><p>Pulmonal Valve - normal function and morphology?</p></div>";;;;;;;[echo_pk]='1';;RH;;;;
pk_regurgitation;echocardiography;;checkbox;"Pulmonal Valve Regurgitation";"1, None|2, Minimal|3, Moderate|4, Severe";;;;;;[echo_pk_normal]='0';;RH;;;;" @NONEOFTHEABOVE=1 @MAXCHECKED=2"
pk_stenosis;echocardiography;;checkbox;"Pulmonal Valve Stenosis";"1, None|2, Minimal|3, Moderate|4, Severe";;;;;;[echo_pk_normal]='0';;RH;;;;" @NONEOFTHEABOVE=1 @MAXCHECKED=2"
pericard_effusion;echocardiography;" ";yesno;"Pericardial Effusion";;;;;;;;;RH;;;;
pericard_effusion_spec;echocardiography;;radio;"Pericardial Effusion Extent";"1, Trivial (< 5mm)|2, Small (< 10mm)|3, Moderate (10-20mm)|4, Large (>20mm)";;;;;;"[pericard_effusion]=""1""";;;;;;
pfo;echocardiography;"Atrial Septum ";radio;"Persistent Foramen Ovale";"1, not searched|2, present|3, not present";;;;;;;;RH;;;;
echo_comments;echocardiography;" ";notes;Comments;;;;;;;;;;;;;
echo_rvedd;echocardiography;;text;RVEDD;;mm;number;;;;"[fadi] = '1'";;RH;;;;
echo_rvedd2;echocardiography;;text;RVEDD2;;;number;;;;"[fadi] = '1'";;RH;;;;
echo_tv_annulus;echocardiography;;text;"TV Annulus";;mm;number;;;;"[fadi] = '1'";;RH;;;;
echo_tapse;echocardiography;;text;TAPSE;;mm;;;;;"[fadi] = '1'";;RH;;;;
infection;infections;;yesno;Infection;;;;;;;;y;RH;;;;
date_infection;infections;;text;"Date of Occurence";;;date_dmy;;;;"[infection] = '1'";;;;;;
infection_local;infections;;dropdown;"Infection Localisation";"0, Blood|1, Bone|2, Cerebrospinal Fluid|3, Peritoneal Fluid|4, Pleural Fluid|5, Respiratory Tract|6, Skin/Soft Tissue|7, Stool|8, Urine|9, Wound - surgical (including cannulation site)|10, Wound - traumatic|12, Anal/Rectal|11, Other";;;;;;"[infection] = '1'";;;;;;
infection_local_o;infections;;text;"Other Localisation";;;;;;;"[infection_local] = '11'";;;;;;
infection_organism_type;infections;;checkbox;"Infection Organism Type";"0, Gram positive bacteria|1, Gram negative bacteria|2, Mycobacterium|3, Fungus (yeast and molds)|4, Viruses and Prions|5, Protozoa";;;;;;"[infection] = '1'";;;;;;
infection_grampos;infections;;checkbox;"Infection Gram positive bacteria ";"0, Staphylococcus aureus|5, Staphylococcus aureus, meth resist|6, Staphylococcus aureus, meth sens|1, Staphylococcus coag neg|7, Staphylococcus epidermidis|8, Staphylococcus hominis|9, Staphylococcus scuiri|2, Streptococcus alpha hemolytic|3, Streptococcus beta hemolytic|10, Streptococcus faecalis|11, Streptococcus pneumoniae|25, Streptococcus Group A|26, Streptococcus Group B|27, Streptococcus Group D|12, Streptococcus viridans|4, Enterococcus|13, Legionella pneumophilia|14, Legionella sp.|15, Clostridium difficile|16, Clostridium perfringes|17, Diptheroides|18, Lactobacillis sp.|19, Bacillis cereus|20, Bacillis sp.|21, Corynebacterium Jejunum|22, Flavobacterium sp.|23, Listeria monocytogenes|24, Mycoplasma pneumoniae|28, Gram positive, other";;;;;;"[infection_organism_type(0)] = '1'";;;;;;
infection_gramneg;infections;;checkbox;"Infection Gram negative bacteria";"1, Hemophilus influenza|2, Hemophilus parainfluenzae|3, Meningococcus|4, Escherichia coli|5, Klebsiella pneumoniae|6, Klebsiella sp.|7, Klebsiella oxytocia|8, Pseudomonas aerugenosa|9, Pseudomonas fluorescens|10, Serratia marsescens|11, Serratia sp.|12, Serratia luginfaciens|13, Stenotrophomonas maltophilia (Xanthomonas)|14, Bacteroides sp.|15, Bordatella Pertussis|16, Citrobacter freundii|17, Enterobacter cloacae|18, Enterobacter sp.|19, Moraxella catarrhalis (Branhamella)|20, Proteus mirabilis|21, Neisseria meningititis|22, Neisseria gonorrhea|23, Neisseria sp.|24, Chlamydia trachomatis|25, Chlamydia sp.|26, Citrobacter sp.|27, Ureaplasma urealyticum|28, Salmonella sp.|29, Gram negative, other";;;;;;"[infection_organism_type(1)] = '1'";;;;;;
infection_myco;infections;;checkbox;"Infection Mycobacterium";"1, Mycobacterium tuberculosis|2, Acinetobacter sp.";;;;;;"[infection_organism_type(2)] = '1'";;;;;;
infection_fungus;infections;;checkbox;"Infection Fungus";"1, Candida albicans|2, Candida parapsilosis|3, Candida krusei|4, Candida tropicalis|5, Candida sp.|6, Yeast sp.|7, Aspergillus fumigatus|8, Aspergillus sp.|9, Torolopsis glabrata";;;;;;"[infection_organism_type(3)] = '1'";;;;;;
infection_virus;infections;;checkbox;"Infection Viruses and Prions";"1, Hepatitis A|2, Hepatitis B|3, Hepatitis C|15, HIV|4, Cytomegalovirus|5, Herpes simplex Virus (HSV)|6, Herpes genitalis|16, Herpes Zoster (Varicella-Zoster)|7, Epstein-Barr Virus (EBV)|8, Influenza A|9, Influenza B|10, Parainfluenza|19, Adenovirus|11, Rotavirus|17, Rhinovirus|12, Enterovirus|18, Enterovirus D68|13, Respiratory syncytial Virus (RSV)|14, Hantavirus|20, Sars-CoV-2";;;;;;"[infection_organism_type(4)] = '1'";;;;;;
infections_protozoa;infections;;checkbox;"Infections Protozoa";"1, Pneumocystis carinii|2, Toxoplasma gondii";;;;;;"[infection_organism_type(5)] = '1'";;;;;;
extub;outcome;;dropdown;Extubation;"1, orotracheally extubated|2, transferred intubated|3, intubated at time of death|4, tracheostomy|5, transferred with tracheostoma|6, no extubation before death";;;;;;;y;;;;;
extub_date;outcome;;text;"Date of Extubation";;;date_dmy;;;;"[extub] = '1'";;;;;;
extub_time;outcome;;text;"Time of Extubation ";;;time;;;;"[extub] = '1'";;;;;;
tracheo_date;outcome;;text;"Date of Tracheostomy";;;date_dmy;;;;"[extub] = '4' and [extub] = '5'";;;;;;
tracheo_time;outcome;;text;"Time of Tracheostomy ";;;datetime_dmy;;;;"[extub] = '4' and [extub] = '5'";;;;;;
tracheo_decann;outcome;;yesno;"Successful Decannulation?";;;;;;;"[extub] = '4'";;;;;;
tracheo_decann_date;outcome;;text;"Date of successful Decannulation ";;;date_dmy;1990-01-01;2030-01-01;;"[tracheo_decann] = '1'";;;;;;
discharge;outcome;" ";checkbox;"Discharged ";"1, Death|2, Discharged from ICU|3, Discharged from DHZB|4, Discharged from last hospital";;;;;;;y;;;;;
discharg_icu_date;outcome;;text;"Date of ICU discharge";;;date_dmy;1990-01-01;2030-01-01;;"[discharge(2)] = '1'";;;;;;
